name,style,viewBox,declared,est,est_n,est_ratio,scale_source,method,candidates,tag_is_top,top_margin,best_area_sf,mean_width_ft,stage,error,identify_ms,regions,stalls,aprons,drive_width,drive_length,throat_width,curb_radius
b7ccbee5_option_6.svg,class,1920x1080,,2.074,66,0.486,estimated,tagged,1159,false,1.46,16453,49.3,done,,10,APRON1+STALL1,1,1,,,26.5,15.9
b7ccbee5_option_7.svg,class,1920x1080,,2.074,136,0.486,estimated,tagged,1144,false,1.48,27943,58.8,done,,14,APRON1+DRIVE1+STALL3,3,1,86.3,132.9,26.5,15.9
b7ccbee5_option_8.svg,class,1920x1080,,2.1304,127,0.471,estimated,tagged,1130,false,1.48,29427,64.1,done,,11,STALL1,1,0,,,,
b7ccbee5_option_9.svg,class,1920x1080,,2.1304,130,0.471,estimated,tagged,1134,false,1.48,26505,44.2,done,,19,APRON1+DRIVE1+STALL1,2,1,23.5,61.7,23.6,15.5
b8dd02a1_option_1.svg,class,1920x1080,,1.9617,96,0.502,estimated,tagged,186,true,5.83,20478,24.5,done,,40,LOT1,0,0,,,,
b8dd02a1_option_2.svg,class,1920x1080,,1.964,126,0.505,estimated,tagged,191,true,5.73,25180,26.1,done,,36,LOT1,0,0,,,,
b8dd02a1_option_3.svg,class,1920x1080,,1.9617,32,0.5,estimated,tagged,144,true,1.01,7265,21.3,done,,16,DRIVE1,0,0,24,300.2,,
b8dd02a1_option_4.svg,class,1920x1080,,,0,,none,tagged,141,true,1.01,,,scale,,,,,,,,,
b8dd02a1_option_5.svg,class,1920x1080,,,0,,none,tagged,153,true,6.24,,,scale,,,,,,,,,
b8dd02a1_option_6.svg,class,1920x1080,,1.9625,40,0.5,estimated,tagged,121,true,5.46,19010,23.4,done,,29,DRIVE1,0,0,25,777.7,,
b8dd02a1_option_7.svg,class,1920x1080,,0.982,36,0.6,estimated,tagged,120,true,1.14,23564,35.5,done,,21,APRON1+DRIVE1+LOT1+STALL1,2,1,40,219.2,40,20
b8dd02a1_option_8.svg,class,1920x1080,,1.9625,56,0.5,estimated,tagged,120,true,1.07,5508,16.6,done,,10,APRON1,1,1,,,22,10
b8dd02a1_option_9.svg,class,1920x1080,,1.9625,36,0.5,estimated,tagged,116,true,2.73,10961,22.3,done,,32,DRIVE1,0,0,25,432.8,,
